instance,time,ubound,nb_iter,chemin
160_USA-road-d.COL.gr,1.7041540145874023,24651.02,1,60/ 83/ 117/ 78/ 97/ 93/ 92/ 127/ 155/ 108/ 129
160_USA-road-d.NY.gr,0.7142488956451416,32640.039999999997,0,120/ 54/ 41/ 11/ 124/ 108/ 102/ 123/ 142/ 154
600_USA-road-d.BAY.gr,9.134884119033813,34634.21000000001,1,269/ 160/ 164/ 84/ 290/ 287/ 393/ 540/ 224/ 550/ 60/ 432/ 533/ 567/ 588
600_USA-road-d.COL.gr,6.172468900680542,39223.99999999999,1,83/ 480/ 544/ 552/ 46/ 283/ 57/ 18/ 114/ 336/ 584/ 192/ 281/ 260/ 389
1000_USA-road-d.BAY.gr,16.280000925064087,48250.00000000001,1,659/ 878/ 755/ 519/ 509/ 354/ 625/ 927/ 331/ 577/ 943/ 383/ 395/ 994/ 698/ 786/ 993
600_USA-road-d.NY.gr,4.846949815750122,47814.36,1,463/ 461/ 549/ 506/ 435/ 569/ 353/ 407/ 108/ 187/ 51/ 182/ 178/ 79/ 275/ 281/ 393/ 280/ 488
60_USA-road-d.BAY.gr,0.10157108306884766,10633.33,0,21/ 39/ 42/ 10/ 44/ 59
60_USA-road-d.COL.gr,0.18857789039611816,23914.23,1,53/ 52/ 56/ 58/ 51/ 44/ 43/ 42/ 27/ 60
60_USA-road-d.NY.gr,0.08748483657836914,31775.839999999997,0,39/ 60/ 48/ 46/ 47/ 59/ 56
650_USA-road-d.BAY.gr,7.443348169326782,34634.21000000001,1,269/ 284/ 523/ 84/ 611/ 381/ 393/ 540/ 445/ 109/ 257/ 613/ 587/ 642/ 588
1000_USA-road-d.COL.gr,17.983607053756714,29672.76,1,213/ 536/ 407/ 121/ 371/ 472/ 585/ 58/ 494/ 512/ 631/ 618/ 710/ 666
650_USA-road-d.COL.gr,6.954769849777222,39223.99999999999,1,83/ 359/ 311/ 650/ 360/ 554/ 530/ 398/ 404/ 336/ 222/ 301/ 608/ 260/ 389
1700_USA-road-d.BAY.gr,34.137126207351685,70557.79000000001,0,1456/ 1545/ 1161/ 1459/ 1225/ 502/ 938/ 1159/ 1692/ 1639/ 457/ 1674/ 424/ 330/ 1244/ 1213/ 1457/ 1424/ 1265/ 1402/ 1451/ 1572/ 1627
650_USA-road-d.NY.gr,5.8256518840789795,43329.049999999996,1,576/ 385/ 526/ 287/ 265/ 359/ 324/ 581/ 240/ 392/ 109/ 553/ 69/ 24/ 226/ 321/ 256/ 349/ 478/ 621
1000_USA-road-d.NY.gr,12.428452968597412,43329.049999999996,1,576/ 385/ 596/ 376/ 592/ 695/ 324/ 916/ 696/ 641/ 903/ 881/ 953/ 786/ 845/ 792/ 256/ 773/ 646/ 621
100_USA-road-d.BAY.gr,0.30283093452453613,10857.06,1,59/ 44/ 75/ 42/ 3/ 41/ 74
100_USA-road-d.COL.gr,0.25683093070983887,25320.15,1,81/ 59/ 26/ 32/ 50/ 79/ 92/ 93/ 97/ 49/ 71/ 83
100_USA-road-d.NY.gr,0.24169397354125977,33931.04,0,51/ 42/ 54/ 15/ 7/ 16/ 68/ 55/ 96
700_USA-road-d.BAY.gr,8.011413097381592,46226.95,1,664/ 534/ 480/ 375/ 372/ 550/ 535/ 511/ 393/ 493/ 136/ 698/ 523/ 562/ 622/ 674/ 657/ 677
700_USA-road-d.COL.gr,8.012956142425537,39223.99999999999,1,83/ 359/ 311/ 312/ 267/ 444/ 268/ 13/ 519/ 25/ 222/ 192/ 281/ 601/ 389
2300_USA-road-d.NY.gr,61.11498999595642,123256.84999999999,0,1785/ 1756/ 1555/ 1554/ 1806/ 1240/ 579/ 1421/ 1705/ 582/ 1810/ 856/ 697/ 866/ 507/ 1044/ 1070/ 1108/ 1082/ 1281/ 517/ 1054/ 2248/ 2042/ 1599/ 728/ 1057/ 1781/ 1753/ 1899/ 1418/ 1928/ 1974
700_USA-road-d.NY.gr,6.081711053848267,43329.049999999996,1,576/ 385/ 689/ 678/ 524/ 239/ 324/ 360/ 582/ 392/ 415/ 51/ 32/ 178/ 465/ 268/ 619/ 349/ 478/ 621
1100_USA-road-d.BAY.gr,16.290561199188232,70226.31999999999,1,820/ 616/ 541/ 1053/ 316/ 337/ 1091/ 457/ 850/ 424/ 516/ 1045/ 859/ 718/ 754/ 786/ 990/ 890/ 1038/ 1082/ 1099
750_USA-road-d.BAY.gr,8.571694135665894,46226.95,1,664/ 534/ 480/ 375/ 372/ 550/ 535/ 433/ 393/ 747/ 476/ 130/ 335/ 562/ 599/ 466/ 657/ 677
750_USA-road-d.COL.gr,9.398720979690552,39223.99999999999,1,83/ 567/ 183/ 65/ 46/ 699/ 169/ 18/ 629/ 89/ 584/ 301/ 161/ 260/ 389
1700_USA-road-d.COL.gr,45.259883880615234,42505.7,0,88/ 238/ 213/ 188/ 1281/ 1635/ 747/ 659/ 1693/ 782/ 1249/ 269/ 309/ 1398/ 1053
1100_USA-road-d.COL.gr,18.23034381866455,42766.5,0,88/ 238/ 331/ 212/ 205/ 568/ 406/ 599/ 652/ 345/ 1043/ 528/ 554/ 529/ 1053
750_USA-road-d.NY.gr,8.028289079666138,43624.92,1,621/ 478/ 620/ 256/ 268/ 79/ 395/ 32/ 3/ 26/ 392/ 696/ 715/ 324/ 320/ 323/ 578/ 691/ 707
1100_USA-road-d.NY.gr,13.942998886108398,71656.23000000001,0,621/ 646/ 620/ 1053/ 917/ 589/ 1017/ 442/ 507/ 866/ 697/ 585/ 641/ 696/ 581/ 324/ 928/ 443/ 959/ 1095/ 1066
800_USA-road-d.BAY.gr,9.216946125030518,40198.439999999995,1,588/ 642/ 628/ 410/ 212/ 632/ 445/ 795/ 765/ 381/ 721/ 461/ 686/ 796/ 766
800_USA-road-d.COL.gr,9.996814966201782,39223.99999999999,1,83/ 567/ 759/ 217/ 545/ 699/ 268/ 526/ 404/ 134/ 735/ 261/ 161/ 260/ 389
1700_USA-road-d.NY.gr,30.851782083511353,66475.47,0,1133/ 1390/ 1364/ 721/ 1237/ 617/ 1108/ 1070/ 694/ 855/ 866/ 1463/ 585/ 906/ 582/ 1223/ 1683/ 1176/ 1240/ 1547/ 1554/ 1555/ 1307
1200_USA-road-d.BAY.gr,17.02091908454895,76338.22,0,1099/ 1082/ 1115/ 1018/ 990/ 1046/ 975/ 454/ 859/ 1045/ 414/ 888/ 438/ 581/ 861/ 902/ 1159/ 860/ 1097/ 862/ 1123/ 826/ 1177
2400_USA-road-d.BAY.gr,54.97042894363403,77192.09999999999,0,1788/ 1735/ 1177/ 1743/ 1459/ 1900/ 502/ 1411/ 503/ 2089/ 2027/ 457/ 946/ 1272/ 330/ 1621/ 520/ 1962/ 1898/ 1913/ 1891/ 2178/ 2277/ 1627/ 2276/ 2300
800_USA-road-d.NY.gr,8.876999139785767,43624.92,1,621/ 478/ 620/ 348/ 120/ 226/ 404/ 198/ 704/ 415/ 392/ 240/ 581/ 714/ 239/ 713/ 712/ 758/ 707
80_USA-road-d.BAY.gr,0.28679895401000977,10857.06,1,59/ 44/ 10/ 19/ 38/ 41/ 74
80_USA-road-d.COL.gr,0.2382218837738037,14277.49,1,46/ 55/ 31/ 28/ 69/ 71/ 78/ 76
80_USA-road-d.NY.gr,0.10251498222351074,31775.839999999997,0,39/ 15/ 38/ 46/ 68/ 59/ 56
850_USA-road-d.BAY.gr,11.314441919326782,42201.06,1,659/ 656/ 578/ 233/ 614/ 60/ 459/ 317/ 331/ 424/ 731/ 412/ 783/ 718/ 754/ 786
1200_USA-road-d.COL.gr,23.222543954849243,42766.5,0,88/ 238/ 471/ 536/ 361/ 207/ 907/ 793/ 293/ 245/ 938/ 528/ 1000/ 1001/ 1053
850_USA-road-d.COL.gr,13.28096890449524,29672.76,1,213/ 536/ 468/ 499/ 133/ 222/ 516/ 429/ 305/ 27/ 557/ 724/ 710/ 666
1800_USA-road-d.BAY.gr,39.313498973846436,72511.79000000001,1,1627/ 1785/ 1451/ 1328/ 1487/ 1301/ 1158/ 520/ 889/ 414/ 888/ 438/ 457/ 1639/ 1692/ 1740/ 770/ 502/ 1338/ 1215/ 1535/ 1177/ 1456/ 1788
