instance,time,ubound,nb_iter
1000_USA-road-d.BAY.gr,1.1549139022827148,71133.86,4
1000_USA-road-d.COL.gr,0.4703099727630615,38423.259999999995,0
1000_USA-road-d.NY.gr,0.16035103797912598,71088.80000000002,2
100_USA-road-d.BAY.gr,0.007194042205810547,10857.06,1
100_USA-road-d.COL.gr,0.005676984786987305,25320.15,3
100_USA-road-d.NY.gr,0.004467964172363281,33931.04,0
1100_USA-road-d.BAY.gr,0.21490812301635742,82475.0,1
1100_USA-road-d.COL.gr,0.7211430072784424,42766.5,0
1100_USA-road-d.NY.gr,0.18260407447814941,70898.23000000001,1
1200_USA-road-d.BAY.gr,0.23833203315734863,76338.22,0
1200_USA-road-d.COL.gr,0.4352099895477295,42766.5,0
1200_USA-road-d.NY.gr,0.17205500602722168,72565.98999999999,0
120_USA-road-d.BAY.gr,0.010107994079589844,12904.820000000002,1
120_USA-road-d.COL.gr,0.004065036773681641,31065.539999999997,1
120_USA-road-d.NY.gr,0.00681614875793457,31592.039999999997,0
1300_USA-road-d.BAY.gr,0.25756406784057617,76715.79,2
1300_USA-road-d.COL.gr,0.49561381340026855,42505.7,0
1300_USA-road-d.NY.gr,0.2297520637512207,67883.94,1
1400_USA-road-d.BAY.gr,0.3002440929412842,79995.28000000001,1
1400_USA-road-d.COL.gr,0.9405388832092285,42505.7,0
1400_USA-road-d.NY.gr,0.2540881633758545,67883.94,1
140_USA-road-d.BAY.gr,0.012190103530883789,15643.660000000002,0
140_USA-road-d.COL.gr,0.00676417350769043,24651.02,2
140_USA-road-d.NY.gr,0.00687098503112793,39267.79,0
1500_USA-road-d.BAY.gr,0.3265209197998047,79379.73000000001,1
1500_USA-road-d.COL.gr,0.8574650287628174,42505.7,0
1500_USA-road-d.NY.gr,0.26635003089904785,66475.47,0
1600_USA-road-d.BAY.gr,0.3849220275878906,81809.73000000001,1
1600_USA-road-d.COL.gr,0.9929530620574951,42505.7,0
1600_USA-road-d.NY.gr,0.33805394172668457,66475.47,0
160_USA-road-d.BAY.gr,0.014029979705810547,14081.580000000002,1
160_USA-road-d.COL.gr,0.008093833923339844,24651.02,2
160_USA-road-d.NY.gr,0.009393930435180664,32640.039999999997,0
1700_USA-road-d.BAY.gr,0.5483419895172119,70557.79000000001,0
1700_USA-road-d.COL.gr,1.1112289428710938,42505.7,0
1700_USA-road-d.NY.gr,0.3347640037536621,66475.47,0
1800_USA-road-d.BAY.gr,0.4368150234222412,72511.79000000001,1
1800_USA-road-d.COL.gr,1.4048871994018555,42505.7,0
1800_USA-road-d.NY.gr,0.3736419677734375,69098.25,1
180_USA-road-d.BAY.gr,0.016283035278320312,14081.580000000002,1
180_USA-road-d.COL.gr,0.010669946670532227,36557.45,0
180_USA-road-d.NY.gr,0.011062860488891602,32640.039999999997,0
1900_USA-road-d.BAY.gr,0.4483468532562256,76729.59000000001,1
1900_USA-road-d.COL.gr,1.7594170570373535,42505.7,0
1900_USA-road-d.NY.gr,0.5369729995727539,69098.25,0
2000_USA-road-d.BAY.gr,0.824193000793457,67603.99999999999,0
2000_USA-road-d.COL.gr,1.7868070602416992,50172.479999999996,0
2000_USA-road-d.NY.gr,0.6231920719146729,72476.79999999999,0
200_USA-road-d.BAY.gr,0.044252872467041016,14081.580000000002,1
200_USA-road-d.COL.gr,0.016450166702270508,37623.45,0
200_USA-road-d.NY.gr,0.016501903533935547,37332.26,0
20_USA-road-d.BAY.gr,0.0011320114135742188,15332.560000000001,1
20_USA-road-d.COL.gr,0.0016698837280273438,7076.52,0
20_USA-road-d.NY.gr,0.0008630752563476562,9454.470000000001,1
2100_USA-road-d.BAY.gr,0.8134920597076416,72250.15999999999,0
2100_USA-road-d.COL.gr,1.7668030261993408,43998.7,0
2100_USA-road-d.NY.gr,0.5840270519256592,123256.84999999999,1
2200_USA-road-d.BAY.gr,0.6006557941436768,80869.20999999999,2
2200_USA-road-d.COL.gr,2.359583854675293,48962.93,0
2200_USA-road-d.NY.gr,0.6847960948944092,123256.84999999999,1
2300_USA-road-d.BAY.gr,0.690673828125,77192.09999999999,0
2300_USA-road-d.COL.gr,2.1546719074249268,50172.479999999996,0
2300_USA-road-d.NY.gr,0.7447910308837891,123256.84999999999,0
2400_USA-road-d.BAY.gr,1.0255630016326904,77192.09999999999,0
2400_USA-road-d.COL.gr,2.381422996520996,50172.479999999996,2
2400_USA-road-d.NY.gr,0.5821959972381592,71974.35,0
2500_USA-road-d.BAY.gr,1.2518439292907715,73974.15999999999,0
2500_USA-road-d.COL.gr,2.0521340370178223,55495.16,0
2500_USA-road-d.NY.gr,0.6577041149139404,71974.35,0
250_USA-road-d.BAY.gr,0.051718950271606445,19247.969999999998,0
250_USA-road-d.COL.gr,0.015218019485473633,34677.409999999996,0
250_USA-road-d.NY.gr,0.01779007911682129,58663.38,1
300_USA-road-d.BAY.gr,0.05249285697937012,21954.18,2
300_USA-road-d.COL.gr,0.021169185638427734,36488.409999999996,0
300_USA-road-d.NY.gr,0.022388935089111328,59376.17,0
350_USA-road-d.BAY.gr,0.04591107368469238,21954.18,2
350_USA-road-d.COL.gr,0.03351593017578125,39395.56,1
350_USA-road-d.NY.gr,0.022971153259277344,45262.89,0
400_USA-road-d.BAY.gr,0.05882716178894043,32288.360000000004,5
400_USA-road-d.COL.gr,0.050871849060058594,40845.5,0
400_USA-road-d.NY.gr,0.03634500503540039,45262.89,0
40_USA-road-d.BAY.gr,0.002023935317993164,12664.33,1
40_USA-road-d.COL.gr,0.0021009445190429688,15058.97,0
40_USA-road-d.NY.gr,0.0014128684997558594,19099.500000000004,0
450_USA-road-d.BAY.gr,0.07775282859802246,32288.360000000004,6
450_USA-road-d.COL.gr,0.046929121017456055,40845.5,0
450_USA-road-d.NY.gr,0.05601096153259277,53381.09,0
500_USA-road-d.BAY.gr,0.058789968490600586,41929.57000000001,4
500_USA-road-d.COL.gr,0.06699013710021973,40845.5,0
500_USA-road-d.NY.gr,0.049447059631347656,77352.17,1
550_USA-road-d.BAY.gr,0.08432888984680176,48650.29,3
550_USA-road-d.COL.gr,0.08211898803710938,40845.5,0
550_USA-road-d.NY.gr,0.047044992446899414,76742.90999999999,1
600_USA-road-d.BAY.gr,0.0989232063293457,48300.0,5
600_USA-road-d.COL.gr,0.0836648941040039,40845.5,0
600_USA-road-d.NY.gr,0.07230496406555176,86185.34999999999,0
60_USA-road-d.BAY.gr,0.0031778812408447266,10633.33,0
60_USA-road-d.COL.gr,0.003907918930053711,28910.780000000002,3
60_USA-road-d.NY.gr,0.0022449493408203125,31775.839999999997,0
650_USA-road-d.BAY.gr,0.08008503913879395,48300.0,5
650_USA-road-d.COL.gr,0.11460089683532715,40845.5,0
650_USA-road-d.NY.gr,0.05920290946960449,68379.91,1
700_USA-road-d.BAY.gr,0.08681416511535645,60874.020000000004,2
700_USA-road-d.COL.gr,0.12274909019470215,40845.5,0
700_USA-road-d.NY.gr,0.07055091857910156,68379.91,1
750_USA-road-d.BAY.gr,0.09206581115722656,61068.46000000001,1
750_USA-road-d.COL.gr,0.16304993629455566,40845.5,0
750_USA-road-d.NY.gr,0.08330392837524414,70898.23000000001,0
800_USA-road-d.BAY.gr,0.11550307273864746,64548.46000000001,1
800_USA-road-d.COL.gr,0.1732931137084961,40845.5,0
800_USA-road-d.NY.gr,0.08094596862792969,70898.23000000001,0
80_USA-road-d.BAY.gr,0.004890918731689453,10857.06,1
80_USA-road-d.COL.gr,0.00249481201171875,22378.51,0
80_USA-road-d.NY.gr,0.004038810729980469,31775.839999999997,0
850_USA-road-d.BAY.gr,0.12914180755615234,66167.86,3
